"hashtags","avg_hashtags_per_tweet","avg_mentions_per_tweet","proportion_original_tweet","proportion_retweet","proportion_reply","proportion_quote_tweet","proportion_contains_media","proportion_contains_URL","avg_account_age","avg_account_total_tweets","avg_account_total_likes","avg_account_total_followers","avg_account_total_following","avg_account_total_lists","posts_per_hashtag","accounts_per_hashtag","avg_posts_per_account","avg_calendar_weeks_participated","avg_mentioned_by_other_users_per_account","avg_mentioned_other_users_per_account","avg_two_way_mentions_per_account"
"nced",2.56008396011894,0.423911142207451,0.466636738358568,0.489940007346039,0.0434232542953924,0.0606864465575644,0.184362427846773,0.448137134860941,1751.48873227253,7438.60194791446,5123.57484649587,2169.26741477874,1210.7755663773,94.5826804996824,24503,4723,5.18801609146729,2.20326063942409,2.53080669066271,2.9911073470252,0.439127673089138
"ndedchat",2.8413597733711,0.308781869688385,0.754273504273504,0.217948717948718,0.0277777777777778,0.0737179487179487,0.351274787535411,0.412181303116147,1687.83281632653,5231.61224489796,3739.3387755102,1560.82857142857,1220.00408163265,107.995918367347,936,245,3.82040816326531,2.04897959183673,1.16734693877551,1.82857142857143,0.277551020408163
"ohedchat",1.58726114649682,0.258259023354565,0.470585884421709,0.316121812804732,0.213292302773559,0.0739349372552154,0.125435244161359,0.147006369426752,1625.00677846108,6505.91813380282,5443.40580985915,2101.30134976526,1412.49618544601,115.051056338028,25022,3408,7.34213615023474,1.91109154929577,2.84683098591549,3.32071596244131,0.803990610328638
"oklaed",1.65387263778021,0.354772895360996,0.436721055855655,0.515932505429637,0.0473464387147074,0.0791891741382191,0.183672948917396,0.270179286424728,1560.52217988024,5140.28564604729,4138.86744685933,1303.15798901361,828.32445665154,54.6701695724863,89785,8374,10.7218772390733,2.58824934320516,4.07845712920946,5.02137568664915,0.851444948650585
"oredu",3.875,0.4625,0.665280665280665,0.328482328482329,0.00623700623700624,0.0395010395010395,0.346875,0.765625,1633.26133944318,6447.87074829932,3067.72789115646,2110.83673469388,1025.90476190476,93.734693877551,481,147,3.27210884353741,2.04761904761905,1.42857142857143,2.10884353741497,0.306122448979592
"paedchat",2.12773342589379,0.434571329399514,0.505438596491228,0.253508771929825,0.241052631578947,0.0308771929824561,0.297466157584172,0.352308226310309,1714.56473762975,7694.8864118896,5482.38747346072,2571.37154989384,1634.47664543524,154.546709129512,5700,942,6.05095541401274,1.8067940552017,2.38110403397028,2.95647558386412,0.735668789808917
"edchatri",1.81283731688512,0.459714726291442,0.560561858454889,0.361966504592112,0.0774716369529984,0.0723933009184225,0.108134155744025,0.285851966075559,1726.75791900451,5717.68094873757,3647.73450650344,3706.94644223412,1324.32746748279,124.290742157613,9255,1307,7.08110175975516,2.20275439938791,2.91966335118592,3.95409334353481,0.804896710022953
"sced",2.99108589951378,0.749594813614263,0.460276016411787,0.529653114509511,0.010070869078702,0.0380455054084297,0.457050243111831,0.451377633711507,1630.16153030473,6257.41509433962,4607.35175202156,1956.96361185984,1193.99730458221,96.1967654986523,2681,742,3.61320754716981,1.95283018867925,1.85309973045822,2.58490566037736,0.540431266846361
"sdedchat",2.41883226459669,0.546405669929126,0.624315212810788,0.275179098187948,0.100505689001264,0.118204804045512,0.197772527843402,0.315221059736753,1742.77999812772,6670.44852941176,5006.56617647059,2465.35294117647,1659.98529411765,153.526470588235,4746,680,6.97941176470588,1.79705882352941,1.99852941176471,3.04117647058824,0.586764705882353
"tnedchat",2.7439471753485,0.475421863536317,0.525038520801233,0.339368258859784,0.135593220338983,0.076271186440678,0.27072633895818,0.533382245047689,1678.17932533754,8280.08565737052,6576.44023904382,3318.92430278884,1756.78884462151,148.48406374502,2596,502,5.17131474103586,1.89442231075697,1.87848605577689,2.5597609561753,0.561752988047809
